Nombre de Archivo,Fecha de Creación,Fecha de Último Acceso,Tamaño del Archivo (bytes),Tipo de Archivo
#ilovemypitbull.png,2018-01-07 12:55:38,2023-09-18 21:35:18,1507822,image/png
#picoftheday.png,2018-01-01 21:15:47,2023-09-18 21:36:41,1190894,image/png
00_MUIA_Razonamiento_y_Planificacion_Refuerzo_Examen.pdf,2024-02-25 14:58:35,2024-02-25 15:55:03,1568577,application/pdf
00_Presentacion_MUIA_Razonamiento_y_Planificacion.pdf,2023-11-06 20:12:46,2023-11-06 20:13:31,1494855,application/pdf
01_MUIA_Razonamiento_y_Planificacion_Tema1.pdf,2023-11-06 20:12:48,2023-11-06 20:13:43,2066068,application/pdf
02-Firma-Mail (1).png,2020-10-04 14:10:40,2023-09-16 21:38:27,9333,image/png
02-Firma-Mail (2).png,2020-10-04 14:15:38,2023-09-16 21:38:26,9333,image/png
02-Firma-Mail.png,2020-10-04 13:18:35,2023-09-16 21:38:26,9333,image/png
03-Tema2. Ciencia y método científico_2de2.pdf,2023-11-21 16:17:19,2023-11-21 16:17:21,604429,application/pdf
03_MUIA_Razonamiento_y_Planificacion_Tema3.pdf,2023-12-12 18:59:22,2023-12-12 20:50:51,944625,application/pdf
04_2_Búsqueda_en_profundidad.mkv,2023-12-12 21:23:40,2023-12-12 21:55:44,36372860,video/x-matroska
04_3_Búsqueda_con_costes_UCS.mkv,2023-12-12 21:23:34,2024-01-29 19:26:38,25332437,video/x-matroska
04_MUIA_Razonamiento_y_Planificacion_Tema4.pdf,2023-12-12 21:23:04,2023-12-12 21:23:46,1133719,application/pdf
05_1_Búsqueda_con_Astar.mkv,2023-12-12 21:23:38,2023-12-16 17:37:10,33381667,video/x-matroska
06_Tema6.pdf,2024-01-29 21:25:22,2024-01-29 21:25:25,247842,application/pdf
07_Tema7.pdf,2024-01-29 21:25:32,2024-01-29 21:25:52,679320,application/pdf
0871301_EnrolmentLetter2022.pdf,2022-07-20 16:23:22,2022-07-22 10:12:13,248160,application/pdf
0871301_EnrolmentLetter2023.pdf,2023-11-29 18:26:31,2024-02-21 14:26:32,248100,application/pdf
08b_Ejemplos_pddl.zip,2024-01-22 19:17:23,2024-01-24 09:18:17,1350,application/x-zip-compressed
08_Tema8.pdf,2024-01-29 21:25:34,2024-01-29 21:25:52,662365,application/pdf
09 Carta de Solicitud de Biometricos.pdf,2022-04-02 22:11:03,2022-04-02 23:13:30,71102,application/pdf
0990005737001-01-001-001-172318155.zip,2022-04-28 09:38:16,2022-09-04 17:25:03,31489,application/x-zip-compressed
099625336142221_20_05.884980820o.docx,2022-04-22 22:20:11,2023-09-18 20:32:16,77884,application/vnd.openxmlformats-officedocument.wordprocessingml.document
09962533614320_20_17.981663920o.docx,2022-04-03 21:20:21,2022-04-08 16:22:51,77886,application/vnd.openxmlformats-officedocument.wordprocessingml.document
09962533615718_40_15.523420240o.docx,2022-05-07 19:40:22,2022-05-07 21:08:50,77889,application/vnd.openxmlformats-officedocument.wordprocessingml.document
099625336161208_23_24.819853923o.docx,2022-06-12 09:23:36,2022-06-12 09:23:37,77890,application/vnd.openxmlformats-officedocument.wordprocessingml.document
099625336161816_14_17.919009614o.docx,2022-06-18 17:14:22,2022-06-18 17:17:01,77884,application/vnd.openxmlformats-officedocument.wordprocessingml.document
099625336172812_29_09.843552329o.docx,2022-07-28 13:29:16,2022-07-28 13:29:42,77886,application/vnd.openxmlformats-officedocument.wordprocessingml.document
09962533617917_37_48.796497837o.docx,2022-07-09 18:37:57,2022-07-13 11:45:34,77882,application/vnd.openxmlformats-officedocument.wordprocessingml.document
10 Cita de Biometricos.pdf,2022-04-02 22:09:56,2022-04-02 23:13:31,31857,application/pdf
100174.mp4,2023-12-11 13:29:14,2023-12-11 13:32:23,96196877,video/mp4
100606.mp4,2023-12-11 13:31:25,2023-12-11 13:33:06,175569543,video/mp4
100849.mp4,2023-12-11 13:24:05,2023-12-11 13:31:42,118818628,video/mp4
100871.mp4,2023-12-11 13:33:24,2024-01-10 20:58:59,111782527,video/mp4
101844.mp4,2023-12-11 13:30:38,2023-12-11 13:32:37,121962333,video/mp4
101_Engi_ (1).pdf,2022-01-24 17:55:02,2022-03-24 22:57:41,76033,application/pdf
101_Engi_ (2).pdf,2022-01-25 18:02:40,2022-03-24 22:57:41,76033,application/pdf
101_Engi_.pdf,2022-01-18 14:22:25,2022-03-24 22:57:41,76033,application/pdf
1024 Final project.docx,2022-12-07 11:02:29,2023-01-08 23:03:56,15731,application/vnd.openxmlformats-officedocument.wordprocessingml.document
10290.pdf,2023-10-06 20:49:09,2023-10-09 20:51:28,6224448,application/pdf
102_Engi_ (1).pdf,2022-01-18 10:55:49,2022-03-24 22:57:41,77706,application/pdf
102_Engi_ (2).pdf,2022-01-18 16:43:32,2022-03-24 22:57:41,77706,application/pdf
102_Engi_ (3).pdf,2022-01-19 11:29:45,2022-03-24 22:57:41,77706,application/pdf
102_Engi_ (4).pdf,2022-01-21 08:08:53,2022-03-24 22:57:41,77706,application/pdf
102_Engi_.pdf,2022-01-18 10:54:24,2022-03-24 22:57:41,77706,application/pdf
103198.mp4,2023-12-12 16:14:55,2024-01-18 10:27:58,161225920,video/mp4
103781.mp4,2023-12-13 19:07:05,2023-12-13 21:54:27,262419488,video/mp4
104022.mp4,2023-12-13 19:10:40,2024-01-10 20:59:01,136248654,video/mp4
104411.mp4,2023-12-14 18:59:00,2024-01-10 16:18:19,156629319,video/mp4
104605.mp4,2023-12-14 18:59:48,2024-01-10 15:14:38,223166074,video/mp4
10506_PeterKay_16093.pdf,2022-01-17 09:10:25,2022-03-24 22:57:41,144698,application/pdf
105627.mp4,2023-12-18 19:44:57,2024-01-10 15:13:42,129413469,video/mp4
105977.mp4,2023-12-20 20:41:29,2024-01-10 15:13:57,282802394,video/mp4
105986.mp4,2023-12-20 20:41:17,2024-01-10 15:13:54,252038603,video/mp4
106101.mp4,2023-12-20 22:28:38,2024-01-10 15:14:12,257621411,video/mp4
106138.mp4,2023-12-20 22:27:48,2024-01-10 15:14:01,29390608,video/mp4
106742.mp4,2023-12-21 21:35:56,2024-01-10 15:14:21,240956663,video/mp4
107080.mp4,2023-12-21 21:36:22,2024-01-18 19:18:01,234858741,video/mp4
107323.mp4,2023-12-21 21:34:22,2024-01-10 15:14:13,101182259,video/mp4
108394.mp4,2024-01-09 14:08:26,2024-01-11 13:35:58,304361181,video/mp4
108816.mp4,2024-01-11 13:36:28,2024-01-11 18:34:32,163501978,video/mp4
108912.mp4,2024-01-10 15:21:12,2024-01-11 13:36:45,268939926,video/mp4
109183.mp4,2024-01-11 13:38:30,2024-01-12 16:16:02,360943135,video/mp4
109437.mp4,2024-01-11 13:42:15,2024-01-16 18:42:50,168401321,video/mp4
109960.mp4,2024-01-12 14:51:29,2024-01-18 10:04:30,325489189,video/mp4
11406_IlanDecker_17203.pdf,2022-01-13 08:45:23,2022-03-24 22:57:42,93407,application/pdf
11zon_Carlos.Vasconez (1) (1).doc,2023-12-05 19:50:39,2024-01-02 17:47:02,103424,application/msword
11zon_JPEG-to-PDF.pdf,2023-12-05 19:41:33,2023-12-05 19:41:57,370021,application/pdf
12 Approval Letter (1).pdf,2022-06-29 17:42:31,2022-07-18 11:38:25,54706,application/pdf
12 Approval Letter.pdf,2022-06-27 10:23:16,2022-06-27 10:26:33,54706,application/pdf
12.-REPORTES-NACIONALES-DICIEMBRE-2022.xlsx,2023-08-29 14:12:28,2024-01-31 23:21:29,8545901,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
122022_Tabulados_Seguridad.zip,2023-07-04 20:46:28,2023-07-04 20:48:37,1335324,application/x-zip-compressed
14796_CardenasLee_21750.pdf,2022-02-23 11:25:27,2022-03-24 22:57:42,66466,application/pdf
159-2020-S.V.-9-M.A. AUDIENCIA ORAL DE CONOCIMIENTO Y RESOLUCION Sec Ad-Hoc-signed (1).pdf,2020-11-25 21:24:27,2022-03-24 22:57:42,130475,application/pdf
159-2020-S.V.-9-M.A. AUDIENCIA ORAL DE CONOCIMIENTO Y RESOLUCION Sec Ad-Hoc-signed.pdf,2020-11-25 21:03:42,2022-03-24 22:57:42,130475,application/pdf
18-07-2022_Amit Kumar Singh_Senior SRE.pdf,2022-07-20 15:21:20,2022-07-22 10:12:11,124620,application/pdf
18-07-22-Amit.Cover-Letter.SRE_AI_AWS.pdf,2022-07-20 15:21:27,2022-08-27 08:54:48,52087,application/pdf
18-AudioTrack 18.mp3,2022-03-05 19:28:03,2022-03-24 22:57:43,1867776,audio/mpeg
18.700-fall-2013.zip,2024-01-01 13:55:17,2024-01-01 13:56:52,10468870,application/x-zip-compressed
19761 FACT (1).pdf,2020-10-18 13:29:26,2022-03-24 22:57:43,41240,application/pdf
19761 FACT.pdf,2020-10-18 13:29:27,2022-03-24 22:57:43,41240,application/pdf
2014_wk9_to_wk12.pdf,2023-04-03 10:14:39,2023-04-05 16:28:16,2904482,application/pdf
2019-01-24-curriculum-andres-muñoz-ingeniero-de-it.pdf,2022-06-30 18:22:15,2022-06-30 18:22:32,3798689,application/pdf
2019_Sales_Data_By_School_Grade.csv,2021-01-21 15:20:08,2022-10-05 21:53:04,5987,application/vnd.ms-excel
20211224_Ravinder_Singh_SRE.doc,2022-03-01 18:17:32,2022-04-14 13:22:45,145920,application/msword
2021_SAP PM_QM_Resume_sewa arya.docx,2022-06-16 14:01:06,2022-06-21 15:59:44,31885,application/vnd.openxmlformats-officedocument.wordprocessingml.document
2021_SINIESTROS_DATOS_ABIERTOS.zip,2024-02-07 09:32:27,2024-02-08 20:30:15,172284,application/x-zip-compressed
2021_SINIESTROS_TABULADOS.xlsx,2024-02-08 20:44:24,2024-02-13 13:50:51,164197,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2021_SINIESTROS_TRÁNSITO_DICCIONARIO_VARIABLES.xlsx,2024-02-07 09:32:30,2024-03-25 13:07:49,354664,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2022-2023_bam-2024.pdf,2023-03-21 12:47:01,2023-03-31 14:16:23,836239,application/pdf
2022-S1--CCSE--PlanningIntroHandsOn.zip,2024-01-27 10:08:44,2024-01-27 10:11:17,2348,application/x-zip-compressed
2022-Updated-May-Resume.docx,2022-05-26 16:57:25,2022-06-07 16:54:29,46964,application/vnd.openxmlformats-officedocument.wordprocessingml.document
20220611-ENG-AtilganSesenResume-June.11th.2022 (1).docx,2022-06-23 12:59:22,2022-07-08 09:33:39,30265,application/vnd.openxmlformats-officedocument.wordprocessingml.document
20220611-ENG-AtilganSesenResume-June.11th.2022.docx,2022-06-23 12:53:41,2022-07-10 11:51:42,30265,application/vnd.openxmlformats-officedocument.wordprocessingml.document
202207111139-2 (1).pdf,2022-07-11 22:12:46,2022-07-11 22:13:27,34101,application/pdf
202207111139-2.pdf,2022-07-11 15:59:02,2022-07-11 16:55:43,34101,application/pdf
2022BasheerResume.pdf,2022-05-23 17:11:31,2022-05-23 17:13:44,30656,application/pdf
2022F BAMM Program Specific Form (1).pdf,2022-07-13 08:45:12,2022-07-13 08:45:46,67800,application/pdf
2022F BAMM Program Specific Form.pdf,2022-07-12 00:42:24,2022-07-12 00:42:27,67800,application/pdf
2022F co-op form.pdf,2022-07-13 08:45:13,2022-07-13 08:45:33,192239,application/pdf
2022F-BAMM-T1-G1.Pdf,2022-08-31 08:31:20,2022-08-31 08:31:39,589658,application/pdf
2022F-BAMM-T1-G2.Pdf,2022-08-31 08:31:24,2022-08-31 08:31:53,586461,application/pdf
2022F-T1_BAM 1073_01_Teaching Plan (1).xlsx,2022-09-18 22:00:06,2023-10-07 20:57:19,60584,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2022F-T1_BAM 1073_01_Teaching Plan (2).xlsx,2022-09-18 22:01:15,2023-10-07 20:57:19,60584,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2022F-T1_BAM 1073_01_Teaching Plan (3).xlsx,2022-09-27 16:39:08,2023-10-07 20:57:19,60584,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2022F-T1_BAM 1073_01_Teaching Plan (4).xlsx,2022-09-29 15:20:50,2023-10-07 20:57:19,60584,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2022F-T1_BAM 1073_01_Teaching Plan (5).xlsx,2022-10-10 11:37:59,2023-10-07 20:57:10,60584,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2022F-T1_BAM 1073_01_Teaching Plan (6).xlsx,2022-10-11 16:51:48,2023-10-07 20:57:10,60584,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2022F-T1_BAM 1073_01_Teaching Plan (7).xlsx,2022-10-31 11:17:36,2023-10-07 20:57:09,60584,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2022F-T1_BAM 1073_01_Teaching Plan.xlsx,2022-09-08 20:10:30,2023-10-07 20:57:19,60024,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2022_Benefit_Guide_BASIC.pdf,2022-03-07 17:10:45,2022-03-24 22:57:43,2781133,application/pdf
2022_ESTRA_DATOS_ABIERTOS.zip,2024-02-08 20:44:57,2024-02-13 10:05:35,15585833,application/x-zip-compressed
2023 T4 - CARLOS VASCONEZ SWETT.pdf,2024-03-03 09:30:12,2024-03-03 09:30:15,92233,application/pdf
20230105_001549.jpg,2023-01-09 09:56:30,2024-01-02 20:59:10,187592,image/jpeg
20230105_001723.jpg,2023-01-09 09:56:17,2024-01-02 20:58:27,230122,image/jpeg
2023F-BAMM-T3-G1 (1).Pdf,2023-09-04 20:08:28,2023-09-12 20:27:52,145030,application/pdf
